epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.37081,0,7.58395,0,0,0,0,0,0,3.46938,0,0,0,0
2,9.17774,0,7.55811,0,0,0,0,0,0,3.471,0,1.9604e-05,1.9604e-05,1.9604e-05
3,10.9439,0,7.55764,0,0,0,0,0,0,3.47158,0,3.8416e-05,3.8416e-05,3.8416e-05
4,12.6539,0,7.52379,0,0,0,0,0,0,3.47313,0,5.6436e-05,5.6436e-05,5.6436e-05
5,14.4797,0,7.47724,0,0,0,0,0,0,3.47432,0,7.3664e-05,7.3664e-05,7.3664e-05
6,16.3248,0,7.40004,0,0,0,0,0,0,3.4756,0,9.01e-05,9.01e-05,9.01e-05
7,18.0328,0,7.39946,0,0,0,0,0,0,3.47649,0,0.000105744,0.000105744,0.000105744
8,19.7795,0,7.35102,0,0,0,0,0,0,3.47802,0,0.000120596,0.000120596,0.000120596
9,21.9972,0,7.28061,0,0,0,0,0,0,3.47942,0,0.000134656,0.000134656,0.000134656
10,26.0156,0,7.26276,0,0,0,0,0,0,3.48091,0,0.000147924,0.000147924,0.000147924
11,28.0239,0,7.18596,0,0,0,0,0,0,3.48225,0,0.0001604,0.0001604,0.0001604
12,32.0516,0,7.13746,0,0,0,0,0,0,3.48561,0,0.000172084,0.000172084,0.000172084
13,35.0289,0,7.10636,0,0,0,0,0,0,3.48877,0,0.000182976,0.000182976,0.000182976
14,37.1956,0,7.00664,0,0,0,0,0,0,3.48946,0,0.000193076,0.000193076,0.000193076
15,39.0477,0,7.00714,0,0,0,0,0,0,3.48923,0,0.000202384,0.000202384,0.000202384
16,41.2607,0,6.85293,0,0,0,0,0,0,3.48809,0,0.0002109,0.0002109,0.0002109
17,43.0822,0,6.81454,0,0,0,0,0,0,3.48526,0,0.000218624,0.000218624,0.000218624
18,44.7264,0,6.83242,0,0,0,0,0,0,3.48526,0,0.000225556,0.000225556,0.000225556
19,46.591,0,6.71837,0,0,0,0,0,0,3.48137,0,0.000231696,0.000231696,0.000231696
20,48.958,0,6.5772,0,0,0,0,0,0,3.48137,0,0.000237044,0.000237044,0.000237044
21,50.8062,0,6.5809,0,0,0,0,0,0,3.47626,0,0.0002416,0.0002416,0.0002416
22,52.5112,0,6.48965,0,0,0,0,0,0,3.47626,0,0.000245364,0.000245364,0.000245364
23,54.2405,0,6.54398,0,0,0,0,0,0,3.46778,0,0.000248336,0.000248336,0.000248336
24,55.9933,0,6.31727,0,0,0,0,0,0,3.46778,0,0.000250516,0.000250516,0.000250516
25,58.4365,0,6.32747,0,0,0,0,0,0,3.45369,0,0.000251904,0.000251904,0.000251904
26,63.0811,0,6.24141,0,0,0,0,0,0,3.45369,0,0.0002525,0.0002525,0.0002525
27,66.2886,0,6.19728,0,0,0,0,0,0,3.43699,0,0.000252304,0.000252304,0.000252304
28,67.9565,0,6.31803,0,0,0,0,0,0,3.43699,0,0.000251316,0.000251316,0.000251316
29,69.5965,0,6.19798,0,0,0,0,0,0,3.41596,0,0.000249536,0.000249536,0.000249536
30,71.0843,0,6.09099,0,0,0,0,0,0,3.41596,0,0.000246964,0.000246964,0.000246964
31,72.721,0,5.96741,0,0,0,0,0,0,3.38981,0,0.0002436,0.0002436,0.0002436
32,74.3448,0,6.05412,0,0,0,0,0,0,3.38981,0,0.000239444,0.000239444,0.000239444
33,76.0571,0,6.15524,0,0,0,0,0,0,3.37116,0,0.000234496,0.000234496,0.000234496
34,77.8472,0,5.85838,0,0,0,0,0,0,3.37116,0,0.000228756,0.000228756,0.000228756
35,79.4315,0,5.96617,0,0,0,0,0,0,3.35296,0,0.000222224,0.000222224,0.000222224
36,80.8419,0,5.73956,0,0,0,0,0,0,3.35296,0,0.0002149,0.0002149,0.0002149
37,83.2094,0,5.88142,0,0,0,0,0,0,3.33859,0,0.000206784,0.000206784,0.000206784
38,85.1759,0,5.78119,0,0,0,0,0,0,3.33859,0,0.000197876,0.000197876,0.000197876
39,86.8704,0,5.6519,0,0,0,0,0,0,3.32954,0,0.000188176,0.000188176,0.000188176
40,88.7344,0,5.78186,0,0,0,0,0,0,3.32954,0,0.000177684,0.000177684,0.000177684
41,92.3587,0,5.61237,0,0,0,0,0,0,3.32542,0,0.0001664,0.0001664,0.0001664
42,94.7825,0,5.54112,0,0,0,0,0,0,3.32542,0,0.000154324,0.000154324,0.000154324
43,96.5658,0,5.56509,0,0,0,0,0,0,3.31897,0,0.000141456,0.000141456,0.000141456
44,98.3099,0,5.56705,0,0,0,0,0,0,3.31897,0,0.000127796,0.000127796,0.000127796
45,100.286,0,5.5028,0,0,0,0,0,0,3.30936,0,0.000113344,0.000113344,0.000113344
46,101.953,0,5.48834,0,0,0,0,0,0,3.30936,0,9.81e-05,9.81e-05,9.81e-05
47,104.998,0,5.56641,0,0,0,0,0,0,3.29292,0,8.2064e-05,8.2064e-05,8.2064e-05
48,107.264,0,5.43169,0,0,0,0,0,0,3.29292,0,6.5236e-05,6.5236e-05,6.5236e-05
49,110.638,0,5.56319,0,0,0,0,0,0,3.27141,0,4.7616e-05,4.7616e-05,4.7616e-05
50,112.497,0,5.46552,0,0,0,0,0,0,3.27141,0,2.9204e-05,2.9204e-05,2.9204e-05
